Date,^BSESN,ADANIPORTS.BO,RELIANCE.BO,BAJFINANCE.BO,HDFCBANK.BO,TATAMOTORS.BO,TCS.BO,ITC.BO,ICICIBANK.BO,SBIN.BO,TECHM.BO,FEDERALBNK.BO,DLF.BO,BHARATFORG.BO,VOLTAS.BO,GAIL.BO,ACC.BO,NAUKRI.BO,TATAPOWER.BO,BANKBARODA.BO,AMBUJACEM.BO
08-02-2018,34208.10938,412,896.3499756,1655.699951,940,381,1485.5,276,332.25,293,610,94,225.5,701,614.9000244,174.3750458,1595,1183,84,154,247
09-02-2018,34002.44922,401,891.9500122,1638,927.5,370,1480,271,324,297.9500122,600.0499878,93.80000305,225.1000061,755,600,170.6250458,1667,1220,83.5,153.8999939,256.7999878
12-02-2018,34203.33984,404,901.0999756,1629,930,372,1504,271.3999939,333.8999939,288,595,95.5,229.1999969,767.5,596.0999756,174.6750488,1687,1288.099976,85.75,158.0500031,256.5499878
14-02-2018,34436.98047,400,921.6500244,1645,940.625,373.8999939,1482.5,271,327.3500061,289,590,95.09999847,239,780,592.9000244,176.3062897,1657.449951,1242.5,87.09999847,167,257.1000061
15-02-2018,34207.57031,421,936.0499878,1680,940.6500244,379,1464.5,267,321.1000061,275,615,95,233.1000061,765.0999756,600,175.5562897,1632.949951,1250.800049,88,164,254.6000061
16-02-2018,34411.23828,417,937.3499756,1687.099976,942,377.25,1462.5,270,331,280.0499878,607,94.05000305,232.8999939,755,585.5999756,179.8125458,1630,1240.650024,86.30000305,159,253.5
19-02-2018,34053.94922,405,920.2999878,1657.550049,940.625,371.9500122,1470,266.3999939,325,271.2000122,587.0499878,96,223.0500031,742.9000244,597.5,175.8187866,1650,1218,86.55000305,150.9499969,259.8999939
20-02-2018,33913.94141,393.5,928,1630,943.5,370,1465,264.1499939,320.9500122,268.2000122,576.7999878,93.59999847,222,736.2000122,575,173.7375488,1635.050049,1208.599976,86,141.1000061,258.7999878
21-02-2018,33813.82813,396,927,1642,932.5,370.2999878,1480.5,263.2999878,315,272,575,92.69999695,226.8999939,744.5,556.0999756,175.4812927,1653,1210.449951,85.55000305,146.1999969,268.7999878
22-02-2018,33817.08984,394.8999939,923.1500244,1598.599976,926.7999878,364,1522.5,268.8500061,318.8999939,271.6000061,594.7999878,91.90000153,218.3000031,758.0999756,581.7000122,174.1875458,1640,1174,86.25,145.5,257.8999939
23-02-2018,33832,406.8500061,924.2000122,1605,928,357.5499878,1521,267.2000122,319.5,273.0499878,607.7999878,93.5,220,760,580.9000244,172.8750458,1645,1157.449951,84.5,144.8999939,257.2000122
26-02-2018,34225.71875,409,936.0999756,1635,944,362,1539.050049,269,323.1000061,280,623,95.44999695,226.5500031,755,592,172.5375366,1658.25,1212.449951,85.75,147.5,261.1499939
27-02-2018,34558.55859,415.5499878,939,1683.900024,956.0250244,375,1524.974976,269,329,273.9500122,613.0999756,97.25,228.0500031,772,617.8499756,173.4937897,1651.099976,1239.25,85.30000305,143.5,258
28-02-2018,34155.62891,412,944.5,1656,946.9000244,369,1520,265,315,264.7999878,610.6500244,95.09999847,221,765,607,171.0000458,1618.900024,1239.75,85.19999695,139,251
01-03-2018,34141.21875,408.5499878,950.8499756,1635,937.5,367.8999939,1520.5,264.5499878,313,266.7999878,609.0499878,94.65000153,224.3000031,794,615,170.8125458,1620,1274.199951,85,142,253.6999969
05-03-2018,34034.28125,405.5,944.5,1670,937.5,370.8500061,1534.5,263.5,304.7999878,260.7999878,611,94.09999847,223.3000031,785,607,169.8750458,1621.199951,1297.849976,84.30000305,138,252.3000031
06-03-2018,34047.42969,404.3999939,929.7000122,1645,937.5,356.9500122,1566.5,262.6499939,308.3999939,266,633.9000244,93.09999847,223.6000061,770,632,166.5000458,1614,1285.050049,82.90000153,140.8999939,250
07-03-2018,33279.39063,400.7000122,908.5999756,1637.550049,922.5,345,1527.5,256,292,255.9499969,623,91.59999847,215,762,623,164.6625366,1604.900024,1231.599976,81,133.5,241
08-03-2018,33244.51953,377,899.7000122,1634.650024,929.9749756,350.5499878,1530,260,288,247,620,90.75,214.25,745.5499878,631,165.0937958,1580,1238.900024,78.90000153,134.1000061,236.6499939
09-03-2018,33465.05078,391.7999878,915,1628.150024,927.5,345,1507,259.7000122,300.9500122,257.0499878,610,93.90000153,218.5500031,749.5,637,164.3437958,1552,1214,79.90000153,134.6000061,239
