,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.NS,YESBANK.BO,VOLTAS.BO,MARICO.NS,UNIONBANK.BO,BERGEPAINT.BO
0,01-01-2018,-0.007258907,-0.005240338,-0.011334069,-0.008542445,0.004356244,-0.006302955,-0.004647474,-0.015407873,0.009488449,-0.009980219,-0.003654798,0.004235266,-0.042063524,0.003075885,-0.019053985,-0.008253761,-0.002547732,-0.011806825,-0.005581358,-0.000344848,-0.031688936
1,02-01-2018,-0.002986684,-0.007423787,-0.0039344,0.008400181,-0.006479035,-0.027866694,-0.003062579,0.013618056,-0.01629121,-0.006244685,-0.001365895,-0.011228042,-0.018181785,-0.01373353,-0.011753918,-0.019146813,-0.002720019,-0.00407696,0.014325774,-0.022053838,-0.023633657
2,03-01-2018,-0.004015091,-0.015362342,-0.008762005,-0.01139273,0.000535645,-0.006800792,0.016290284,0.008491245,-0.004836085,-0.015819845,-0.004006606,-0.005400725,-0.000840319,-0.017096152,-0.005983099,-0.013486269,0.013153596,-0.005037979,-0.018807321,0.014528617,-0.005862285
3,04-01-2018,0.001685289,-0.006555785,0.001360174,-0.000376723,-0.010000927,0.004711507,-0.000634959,0.014961101,0.012848045,0.00609004,-0.002111097,0.042923991,0.064462843,-0.011677404,-0.006693649,0.00546561,0.001895754,0.003419885,0.009837582,0.02682931,0.006642626
4,05-01-2018,0.003897034,-0.00315179,0.002715915,0.000779963,0.001957253,0.030534337,-0.002075001,0.00014737,-0.008812373,0.001481987,-0.002499988,0.018543404,-0.035471668,0.001173434,-0.001030496,-0.009218451,0.051294194,-0.00439549,0.015057454,-0.013912473,-0.012249399
5,08-01-2018,0.003988182,0.020344851,0.004707322,-0.002841849,0.003906511,-0.035327093,0.003674102,-0.001029429,-0.002520306,-0.012258716,0.011749376,0.014199575,-0.020155023,0.002614379,0.005945021,-0.005200015,-0.013609485,-0.038027108,-0.014786604,0.003103428,-0.009953029
6,09-01-2018,0.000336378,0.001250046,0.012755004,-0.004513863,0.000265529,-0.015444008,-0.009047638,-0.013015449,-0.004464286,-0.010699038,-0.018945007,0.008323438,-0.008634207,0.002859201,-0.005864268,0.007035881,0.024016811,0.01328125,0.000463373,-0.019335082,0.013815268
7,10-01-2018,-0.003060645,0.001619156,-0.003703704,-0.001340483,-0.007673374,-0.014883284,-0.0016,-0.008293892,0.006022057,-0.010251486,0.005822597,-0.018181818,-0.015873016,-0.004212573,-0.001214518,-0.01165456,-0.003957801,-0.027391975,-0.007253105,-0.015972243,-0.009622596
8,11-01-2018,0.00092853,0.021462465,-0.004831418,0.005430095,-0.006584237,0.015185891,-0.008173038,-0.00179374,-0.006728217,-0.037860577,0.000802621,-0.011492362,0.000809045,-0.016080698,0.008219462,-0.004420356,0.007647076,-0.012142256,-0.011562538,-0.019718331,-0.008893807
9,12-01-2018,0.000387586,-0.009733679,0.005042463,-0.000482186,-0.007589286,-0.018402565,0.026337029,0.006091273,-0.004078303,-0.009329143,-0.010412853,-0.00297686,-0.013720791,0.001133301,-0.010059959,0.00531593,-0.007285444,0.005238076,-0.01589296,-0.014642879,-0.012412027
10,15-01-2018,0.004506006,0.001761728,-0.002736304,0.015898136,0.008906904,-0.011568629,0.031788363,-0.006303119,-0.007096209,-0.003716434,-0.006769206,0.011498693,0.016962827,-0.026250016,0.004841694,-0.024134838,-0.023259194,-0.005992727,-0.005588376,0.016788343,-0.011380552
11,16-01-2018,-0.003058118,0.039722244,-0.02687039,0.003399632,-0.004986178,-0.024730077,0.014112273,-0.027138678,-0.014910661,-0.001264223,-4.51E-05,-0.037351338,-0.053174571,-0.024895362,-0.004459488,-0.026256847,-0.000299419,-0.013245615,0.00400128,-0.019784173,-0.017329086
12,17-01-2018,0.009438379,0.030635063,-0.000378352,-0.004684223,0.042335116,0.01676486,0.039696988,0.016433335,-0.002960507,-0.0012857,-0.002654468,-0.009523783,0.021848723,0.015138922,-0.000585709,-0.003008331,0.019345238,0.018314405,-0.008613852,0.025547445,0.001162294
13,18-01-2018,-0.003001719,0.003263708,-0.011505389,0.006145858,-0.026680006,-0.016898634,-0.01114284,-0.024543585,-0.007894717,-0.007562729,-0.003884092,0.000508345,-0.03910616,-0.025373151,-0.0070125,-0.003403539,-0.027857143,-0.050632911,-0.014575431,-0.03937278,-0.010546863
14,19-01-2018,0.004880393,-0.004917768,0.007971774,0.008372068,0.006050772,0.021549468,0.020051881,0.01376989,-0.004793824,-0.006149464,-0.008417635,-0.008223162,0.004991747,-0.005006921,0.002775799,0.000533618,0.000862034,0.030576421,0.00031849,0.034432212,-0.024505917
15,22-01-2018,0.005167719,0.007532711,0.023932538,0.0019388,0.03392553,-0.006693756,-0.004815898,-0.014781279,-0.005295403,0.020299376,-0.004361599,0.012193777,0.004108464,0.009039582,-0.002740176,-0.026912007,0.017908309,0.012641796,0.007163324,0.003928593,0.011736115
16,23-01-2018,0.00757744,0.020847812,0.006871807,-0.004438751,0.004544795,-0.010082672,0.027821116,0.043835598,0.040615057,-0.001424659,-0.009058857,-0.0174476,0.015573787,-0.017714484,-0.008127818,0.021701384,0.002374318,0.000239981,-0.013360578,0.03607145,-0.013137278
17,24-01-2018,5.40E-07,0.006240428,-0.01766986,-0.002392625,-0.022668772,-0.065274984,-0.017961604,-0.011338927,-0.007950453,0.015403378,-0.005846431,-0.017867047,0.055645113,0.010571463,-0.002568811,0.029399287,0.016155955,-0.02783096,-0.000319763,0.027260263,0.004382494
18,25-01-2018,-0.004362227,-0.011482587,-0.005618569,0.005229592,0.006147541,-0.019284937,0.012575899,0.016774609,0.002420136,-0.00968372,-0.004887404,-0.003040554,-0.081920943,0.002203879,-0.003017625,0.01573749,-0.004109589,0.003428812,-0.016631959,-0.069874695,-0.008040804
19,29-01-2018,0.004899154,0.01416309,-0.002277445,0.012430404,-0.018800609,-0.020346951,-0.007500033,-0.009169089,-0.019920019,0.01669243,0.001295681,0.018274661,-0.046969667,0.021068364,0.007844804,-0.036755007,-0.006805589,-0.007430702,0.007948133,-0.042737973,-0.014009424
20,30-01-2018,-0.006709205,-0.009148706,-0.01530083,-0.000575012,-0.024013118,0.002163273,-0.008157508,-0.016613695,-0.008905248,-0.004633234,-0.009206165,-0.017603327,-0.024799984,-0.016689622,-0.01544036,-0.00605427,-0.005906275,-0.011064988,0.015288059,-0.002568851,0.012271185
21,31-01-2018,0.000372136,-0.008060324,0.011736867,0.008216068,0.005677546,-0.003174212,0.010160326,-0.004398827,-0.031489533,-0.003937933,0.003785294,-0.016911778,-0.002479372,-0.025105223,-0.010040902,0.001360025,0.00127122,-0.005921013,-0.017465863,0.009626086,-0.006356738
22,01-02-2018,-0.003948186,-0.004782609,-0.021049406,-0.007349278,-0.00304052,0.007011487,-0.01129543,0.004712831,-0.002549936,0.025413534,-0.025880013,-0.044482772,0.053807945,-0.032926846,-0.003483365,0.01725941,0.011690124,0.001732653,0.009585742,-0.033916913,0.039776183
