Date,Open,Close
01-Jan-18,34059.99,33812.75
02-Jan-18,33913.55,33812.26
03-Jan-18,33929.61,33793.38
04-Jan-18,33912.49,33969.64
05-Jan-18,34021.27,34153.85
08-Jan-18,34216.33,34352.79
09-Jan-18,34431.61,34443.19
10-Jan-18,34538.78,34433.07
11-Jan-18,34471.48,34503.49
12-Jan-18,34578.99,34592.39
15-Jan-18,34687.21,34843.51
16-Jan-18,34877.71,34771.05
17-Jan-18,34753.8,35081.82
18-Jan-18,35366.45,35260.29
19-Jan-18,35339.11,35511.58
22-Jan-18,35613.97,35798.01
23-Jan-18,35868.19,36139.98
24-Jan-18,36161.62,36161.64
25-Jan-18,36208.39,36050.44
29-Jan-18,36106.36,36283.25
30-Jan-18,36277.12,36033.73
31-Jan-18,35951.64,35965.02
01-Feb-18,36048.99,35906.66
02-Feb-18,35707.6,35066.75
05-Feb-18,34718.85,34757.16
06-Feb-18,33753.78,34195.94
07-Feb-18,34563.3,34082.71
08-Feb-18,34208.11,34413.16
09-Feb-18,34002.45,34005.76
12-Feb-18,34203.34,34300.47
14-Feb-18,34436.98,34155.95
15-Feb-18,34207.57,34297.47
16-Feb-18,34411.24,34010.76
19-Feb-18,34053.95,33774.66
20-Feb-18,33913.94,33703.59
21-Feb-18,33813.83,33844.86
22-Feb-18,33817.09,33819.5
23-Feb-18,33832,34142.15
26-Feb-18,34225.72,34445.75
27-Feb-18,34558.56,34346.39
28-Feb-18,34155.63,34184.04
01-Mar-18,34141.22,34046.94
05-Mar-18,34034.28,33746.78
06-Mar-18,34047.43,33317.2
07-Mar-18,33279.39,33033.09
08-Mar-18,33244.52,33351.57
09-Mar-18,33465.05,33307.14
12-Mar-18,33468.16,33917.94
13-Mar-18,33818.22,33856.78
14-Mar-18,33733.55,33835.74
15-Mar-18,33843.47,33685.54
16-Mar-18,33685.86,33176
19-Mar-18,33268.97,32923.12
20-Mar-18,32876.48,32996.76
21-Mar-18,33090.82,33136.18
22-Mar-18,33206.99,33006.27
23-Mar-18,32650.89,32596.54
26-Mar-18,32536.44,33066.41
27-Mar-18,33172.98,33174.39
28-Mar-18,33098.09,32968.68
02-Apr-18,33030.87,33255.36
03-Apr-18,33197.42,33370.63
04-Apr-18,33437.52,33019.07
05-Apr-18,33289.96,33596.8
06-Apr-18,33608.59,33626.97
09-Apr-18,33653.61,33788.54
10-Apr-18,33880.11,33880.25
11-Apr-18,33970.35,33940.44
12-Apr-18,33987.55,34101.13
13-Apr-18,34167.53,34192.65
16-Apr-18,33944.73,34305.43
17-Apr-18,34381.8,34395.06
18-Apr-18,34443.42,34331.68
19-Apr-18,34403.67,34427.29
20-Apr-18,34434.14,34415.58
23-Apr-18,34493.69,34450.77
24-Apr-18,34491.38,34616.64
25-Apr-18,34593.17,34501.27
26-Apr-18,34532.95,34713.6
27-Apr-18,34747.04,34969.7
30-Apr-18,35021.2,35160.36
02-May-18,35328.91,35176.42
03-May-18,35257.31,35103.14
04-May-18,35144.96,34915.38
07-May-18,34983.59,35208.14
08-May-18,35349.85,35216.32
09-May-18,35198.08,35319.35
10-May-18,35353.96,35246.27
11-May-18,35287.99,35535.79
14-May-18,35555.83,35556.71
15-May-18,35537.85,35543.94
16-May-18,35452.35,35387.88
17-May-18,35483.62,35149.12
18-May-18,35143.59,34848.3
21-May-18,34873.16,34616.13
22-May-18,34601.49,34651.24
23-May-18,34656.63,34344.91
24-May-18,34404.14,34663.11
25-May-18,34753.47,34924.87
28-May-18,35074.32,35165.48
29-May-18,35213.14,34949.24
30-May-18,34876.13,34906.11
31-May-18,35083.81,35322.38
01-Jun-18,35373.98,35227.26
04-Jun-18,35503.24,35011.89
05-Jun-18,35029.45,34903.21
06-Jun-18,34932.49,35178.88
07-Jun-18,35278.38,35463.08
08-Jun-18,35406.47,35443.67
11-Jun-18,35472.59,35483.47
12-Jun-18,35525.3,35692.52
13-Jun-18,35835.44,35739.16
14-Jun-18,35743.1,35599.82
15-Jun-18,35656.26,35622.14
18-Jun-18,35698.43,35548.26
19-Jun-18,35552.47,35286.74
20-Jun-18,35329.61,35547.33
21-Jun-18,35644.05,35432.39
22-Jun-18,35428.42,35689.6
25-Jun-18,35783.75,35470.35
26-Jun-18,35355.72,35490.04
27-Jun-18,35543.89,35217.11
28-Jun-18,35207.19,35037.64
29-Jun-18,35128.16,35423.48
02-Jul-18,35545.22,35264.41
03-Jul-18,35344.21,35378.6
04-Jul-18,35385.52,35645.4
05-Jul-18,35703.17,35574.55
06-Jul-18,35543.66,35657.86
09-Jul-18,35835.1,35934.72
10-Jul-18,36068.27,36239.62
11-Jul-18,36299.26,36265.93
12-Jul-18,36424.23,36548.41
13-Jul-18,36635.14,36541.63
16-Jul-18,36658.71,36323.77
17-Jul-18,36390.99,36519.96
18-Jul-18,36722.41,36373.44
19-Jul-18,36509.08,36351.23
20-Jul-18,36377.03,36496.37
23-Jul-18,36501.05,36718.6
24-Jul-18,36859.39,36825.1
25-Jul-18,36928.06,36858.23
26-Jul-18,36928.38,36984.64
27-Jul-18,37253.86,37336.85
30-Jul-18,37491.39,37494.4
31-Jul-18,37534.95,37606.58
01-Aug-18,37643.87,37521.62
02-Aug-18,37529.69,37165.16
03-Aug-18,37327.16,37556.16
06-Aug-18,37714.7,37691.89
07-Aug-18,37849.21,37665.8
08-Aug-18,37756.24,37887.56
09-Aug-18,37994.51,38024.37
10-Aug-18,38050.07,37869.23
13-Aug-18,37693.19,37644.9
