Date,ACC.NS,BANKBARODA.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,INDIGO.NS,INDUSTOWER.NS,NAUKRI.NS
16-03-2018,1599.900024,143.6999969,225.5,1359.800049,112.2750244,716,522.9000244,1265,339,1262
19-03-2018,1571.5,143.8999939,226,1368,111.725029,707.166687,517.5,1251,334.9500122,1290
20-03-2018,1557.650024,132,212.1000061,1330,110.8750305,698.2000122,502,1191.099976,325,1269
21-03-2018,1556.5,137.4499969,217.3999939,1350,110.2500305,715.2000122,502,1241.5,345.7999878,1276
22-03-2018,1558,135.25,216.1000061,1340,109.537529,716,499.3999939,1258,337.3999939,1280
23-03-2018,1530.349976,130.8999939,207,1297.699951,108.7500305,711.7333374,489.8999939,1241,330,1240
26-03-2018,1530,133.5,202.1999969,1288,110.0000305,730.5999756,493,1242.25,340,1233
27-03-2018,1541.25,146,210.8000031,1351.949951,106.6666641,741.2333374,494.1000061,1300,346.7000122,1205
28-03-2018,1512,142.5,205.6999969,1345,106.9833298,718.7999878,492.1499939,1292,337.5,1190
02-04-2018,1509.400024,142.6000061,203.6999969,1328.800049,110.3333359,736.5,489.0499878,1282,336,1175.349976
03-04-2018,1534,144.1499939,200,1336.699951,108.5666656,743.333313,506.8500061,1322.300049,336.5,1224.900024
04-04-2018,1554,145.8500061,204.6000061,1369.300049,109.6666641,737.333313,509.8999939,1371.300049,337,1238
05-04-2018,1551.400024,143,202.8999939,1377.800049,110.3333359,733.2999878,510,1402,337.5499878,1230
06-04-2018,1558,148.1499939,205.8000031,1400,110.5333328,726.666687,515,1446.699951,338,1210
09-04-2018,1552.900024,151.3999939,203.75,1412,111.3666687,726.5999756,533.0999756,1450,338,1203
10-04-2018,1555.900024,153.8999939,207.25,1445.5,111.4000015,722.6333618,537,1492.050049,339,1214.400024
11-04-2018,1531.900024,152.75,213,1500,110.7166672,722.666687,535.5,1475,336.0499878,1219
12-04-2018,1526.099976,150.1999969,213.5,1470.099976,108.5,719.7666626,530,1470,339.2000122,1227.050049
13-04-2018,1528,149,209.8500061,1471.150024,109.4666672,724,551.7999878,1493,341,1246.949951
16-04-2018,1531.699951,149,207.9499969,1461.050049,108.6666641,708.666687,543.4500122,1471.099976,334.5,1238.650024
17-04-2018,1587.699951,150,215.5,1490.050049,108.3333359,721.2999878,547.2000122,1463.099976,342.2000122,1221.599976
18-04-2018,1599,148.5,219.1000061,1498,109.1333313,717.5999756,552.7000122,1494,335,1249.949951
19-04-2018,1605,142.5,214.8000031,1498.449951,110.7333298,759.9666748,547.9000244,1465.75,337,1230
20-04-2018,1567.800049,144.8000031,214.4499969,1482.5,112.5833359,743.833313,551.9000244,1485,337.3999939,1229.150024
23-04-2018,1560,143.9499969,210.6000061,1475,110.9000015,751.6333618,549.9000244,1502,332,1206
24-04-2018,1570,143.5,211.8999939,1494.400024,111.3333359,749.9333496,545.2999878,1480,327,1212.800049
25-04-2018,1560.900024,140.4499969,214.6499939,1472.849976,112.8000031,754.666687,538.7999878,1481,338,1235
26-04-2018,1573.800049,136.3500061,219.6999969,1483,109.1833344,734.7999878,540,1494.949951,326.5,1222.300049
27-04-2018,1551.900024,138,219.3500061,1487.800049,109,744.6333618,547,1497,316.1499939,1226.150024
30-04-2018,1564.849976,144.9499969,226,1493,110.2666626,747.2999878,556,1360,317.1000061,1215
02-05-2018,1584.449951,147.5,222.8000031,1500.099976,108.6999969,744,548.4500122,1412.800049,314.9500122,1230.650024
03-05-2018,1557,144.5500031,214,1495,107.8499985,745.333313,542.5,1285,311.3500061,1222.599976
04-05-2018,1541.949951,142.3500061,213.9499969,1492,107.6500015,746.666687,525,1211.099976,321.7000122,1205
07-05-2018,1530,141.6999969,212,1460,110.0666656,740,544.9500122,1182.25,321.1000061,1205.599976
08-05-2018,1526.199951,144.1000061,216.25,1478,114.4666672,739.2999878,549.0499878,1171,323,1216
09-05-2018,1520.900024,145.0500031,221.8000031,1466,114.3166656,743.3666382,545.0499878,1180,323.8999939,1206
10-05-2018,1511,145.6499939,222,1445,114.4833298,723.333313,556,1163.25,324.8999939,1230.5
11-05-2018,1499,139.5500031,215,1458,113.7333298,724,542.2000122,1151,320.7000122,1221.75
14-05-2018,1465.099976,141.8500061,213,1461.199951,114.3333359,723.333313,551.8499756,1174.699951,319.25,1240
15-05-2018,1447.699951,142.5,205,1434.900024,115.3333359,714.2000122,543.0499878,1187.650024,315,1202.849976
16-05-2018,1407.900024,138.3000031,201.75,1481,113.3000031,721.7000122,542,1188,312.2000122,1195
17-05-2018,1401,132,206.8999939,1502.5,110.6666641,727.666687,545.7999878,1203.5,317.7000122,1188
18-05-2018,1400.5,130.8000031,206,1495,110.0333328,720.7000122,538,1172.349976,318.5,1170.800049
21-05-2018,1379,127.9499969,197.8000031,1414,107.7666626,726.5999756,521,1140,316,1195
22-05-2018,1342.199951,129.6499939,195,1345.349976,108.8000031,724.0333252,522.5,1138,319.5,1180.400024
23-05-2018,1320.25,131.6999969,197.4499969,1390,109.1666641,719.7999878,547.5999756,1137.599976,317,1175
