Date,ACC.BO,ADANIPORTS.BO,AMBUJACEM.BO,BAJFINANCE.BO,BANKBARODA.BO,BHARATFORG.BO,DLF.BO,FEDERALBNK.BO,GAIL.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,NAUKRI.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TATAPOWER.BO,TCS.BO,TECHM.BO,VOLTAS.BO,^BSESN
2018-01-01,1760.5,405.95001220703125,272.54998779296875,1776.800048828125,160.3000030517578,730.0,260.0,108.19999694824219,187.5937957763672,936.5,312.0,263.29998779296875,1396.6500244140625,922.0,310.0,432.20001220703125,94.05000305175781,1344.9000244140625,500.0,656.4000244140625,34059.98828125
2018-01-02,1741.050048828125,408.0,271.0,1725.0,162.0,725.5,258.0,108.5,187.6875457763672,928.5499877929688,310.20001220703125,264.20001220703125,1380.0,915.0,308.1000061035156,429.70001220703125,98.0999984741211,1321.4749755859375,503.0,650.0,33913.55078125
2018-01-03,1743.4000244140625,404.0,267.8500061035156,1724.0,157.1999969482422,728.0,254.10000610351562,107.0,186.16879272460938,937.0,310.0,261.0,1320.6500244140625,924.4500122070312,304.8999938964844,439.5,100.5,1317.0,515.0,645.0999755859375,33929.609375
2018-01-04,1772.949951171875,409.79998779296875,273.45001220703125,1719.75,158.5500030517578,735.0,259.95001220703125,108.0,185.6250457763672,929.0,315.0,262.0,1368.0,919.0,304.0,430.0,101.0,1330.0,520.0,643.2999877929688,33912.48828125
2018-01-05,1796.949951171875,410.0,275.5,1756.949951171875,165.0500030517578,742.3499755859375,258.20001220703125,108.30000305175781,187.5000457763672,929.5,313.25,261.0,1370.0,920.5,311.0,432.0,100.0,1325.5,520.0,648.4000244140625,34021.26953125
2018-01-08,1814.3499755859375,425.0,272.0,1825.0,161.64999389648438,743.0,260.0,112.5,187.5000457763672,932.5,313.0,263.04998779296875,1405.0,924.0999755859375,306.6000061035156,433.70001220703125,100.44999694824219,1347.5,519.0,664.0,34216.328125
2018-01-09,1824.800048828125,424.0,274.1000061035156,1840.0,162.0,736.0,260.0,116.0,185.2500457763672,936.0,315.0,265.5,1384.4000244140625,929.0499877929688,307.0,434.75,100.05000305175781,1355.0,530.0,640.0,34431.609375
2018-01-10,1815.0,421.5,277.04998779296875,1819.75,164.1999969482422,733.0,270.5,115.19999694824219,189.15003967285156,932.5,312.5,273.0,1378.0,945.0,304.1000061035156,438.8500061035156,99.0,1356.0,534.0499877929688,648.0,34538.78125
2018-01-11,1837.0,424.0,279.0,1793.0999755859375,162.0,719.0,271.0,113.75,186.07504272460938,930.0,312.0,269.8999938964844,1402.9000244140625,941.75,301.5,432.54998779296875,99.0,1403.5999755859375,542.0,634.1500244140625,34471.48046875
2018-01-12,1802.0,426.0,272.0,1764.0,163.0,731.0999755859375,271.8500061035156,115.0,185.6250457763672,933.2750244140625,309.45001220703125,270.0,1398.8499755859375,942.0,304.25,438.29998779296875,100.25,1406.5,554.0,630.0,34578.98828125
2018-01-15,1806.4000244140625,426.0,269.6499938964844,1800.0,163.5,730.0,268.20001220703125,116.75,188.2500457763672,932.5,319.29998779296875,267.6000061035156,1405.550048828125,950.2000122070312,303.20001220703125,438.70001220703125,99.0999984741211,1395.0,550.0,634.0999755859375,34687.2109375
2018-01-16,1826.5,421.6499938964844,277.6000061035156,1742.300048828125,164.89999389648438,732.0999755859375,267.1000061035156,112.4000015258789,183.7500457763672,948.625,329.5,267.5,1359.0,949.0,302.0,432.0,97.8499984741211,1374.0999755859375,548.0999755859375,630.4000244140625,34877.7109375
2018-01-17,1850.0,424.8500061035156,275.1499938964844,1691.0,157.0,715.7000122070312,256.1499938964844,105.0,182.96253967285156,950.0,330.0,261.79998779296875,1404.0,925.0,295.20001220703125,422.8500061035156,93.75,1428.550048828125,557.2999877929688,617.0,34753.80078125
2018-01-18,1842.0,436.8999938964844,277.0,1705.0,167.1999969482422,735.0,262.5,109.4000015258789,177.97503662109375,960.0,350.0,267.79998779296875,1382.0,930.0,314.1499938964844,422.3500061035156,94.4000015258789,1447.5,555.1500244140625,632.0,35366.44921875
2018-01-19,1835.0999755859375,417.95001220703125,272.79998779296875,1660.5999755859375,162.25,721.5,249.85000610351562,102.25,174.3750457763672,967.5,346.6000061035156,276.20001220703125,1387.1500244140625,922.0,302.75,419.75,90.6500015258789,1460.0,555.0,598.5,35339.109375
2018-01-22,1845.0,435.0,275.0,1739.0,165.60000610351562,735.8499755859375,250.0,103.19999694824219,175.893798828125,980.0,353.0,275.0,1405.0,948.5,309.3999938964844,419.0,92.5,1478.0,550.0,617.0,35613.96875
2018-01-23,1830.0,438.70001220703125,268.8500061035156,1710.0,164.8000030517578,745.0,251.5500030517578,102.0,172.29379272460938,980.0,352.25,273.3500061035156,1418.0999755859375,975.0,306.25,422.1000061035156,92.0,1557.5,568.0,624.9000244140625,35868.19140625
2018-01-24,1784.050048828125,437.45001220703125,263.5,1695.0,173.85000610351562,746.0,259.29998779296875,103.5,176.8125457763672,982.2000122070312,359.1000061035156,277.0,1402.5,981.9000244140625,317.79998779296875,417.75,92.5,1550.0,586.1500244140625,627.0,36161.62109375
2018-01-25,1752.0,449.0,260.75,1742.0,179.0,746.5,258.5,102.69999694824219,182.1938018798828,980.0,353.8500061035156,281.5,1397.449951171875,970.0,333.0,402.25,91.0,1590.0,600.0,612.4500122070312,36208.390625
