,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
,ACC.BO,AMBUJACEM.BO,BANKBARODA.BO,BHARATFORG.BO,DLF.BO,FEDERALBNK.BO,GAIL.BO,NAUKRI.BO,TATAPOWER.BO,VOLTAS.BO
Date,,,,,,,,,,
2018-01-01,1760.5,272.54998779296875,160.3000030517578,730.0,260.0,108.19999694824219,187.5937957763672,1396.6500244140625,94.05000305175781,656.4000244140625
2018-01-02,1741.050048828125,271.0,162.0,725.5,258.0,108.5,187.6875457763672,1380.0,98.0999984741211,650.0
2018-01-03,1743.4000244140625,267.8500061035156,157.1999969482422,728.0,254.10000610351562,107.0,186.16879272460938,1320.6500244140625,100.5,645.0999755859375
2018-01-04,1772.949951171875,273.45001220703125,158.5500030517578,735.0,259.95001220703125,108.0,185.6250457763672,1368.0,101.0,643.2999877929688
2018-01-05,1796.949951171875,275.5,165.0500030517578,742.3499755859375,258.20001220703125,108.30000305175781,187.5000457763672,1370.0,100.0,648.4000244140625
2018-01-08,1814.3499755859375,272.0,161.64999389648438,743.0,260.0,112.5,187.5000457763672,1405.0,100.44999694824219,664.0
2018-01-09,1824.800048828125,274.1000061035156,162.0,736.0,260.0,116.0,185.2500457763672,1384.4000244140625,100.05000305175781,640.0
2018-01-10,1815.0,277.04998779296875,164.1999969482422,733.0,270.5,115.19999694824219,189.15003967285156,1378.0,99.0,648.0
2018-01-11,1837.0,279.0,162.0,719.0,271.0,113.75,186.07504272460938,1402.9000244140625,99.0,634.1500244140625
2018-01-12,1802.0,272.0,163.0,731.0999755859375,271.8500061035156,115.0,185.6250457763672,1398.8499755859375,100.25,630.0
2018-01-15,1806.4000244140625,269.6499938964844,163.5,730.0,268.20001220703125,116.75,188.2500457763672,1405.550048828125,99.0999984741211,634.0999755859375
2018-01-16,1826.5,277.6000061035156,164.89999389648438,732.0999755859375,267.1000061035156,112.4000015258789,183.7500457763672,1359.0,97.8499984741211,630.4000244140625
2018-01-17,1850.0,275.1499938964844,157.0,715.7000122070312,256.1499938964844,105.0,182.96253967285156,1404.0,93.75,617.0
2018-01-18,1842.0,277.0,167.1999969482422,735.0,262.5,109.4000015258789,177.97503662109375,1382.0,94.4000015258789,632.0
2018-01-19,1835.0999755859375,272.79998779296875,162.25,721.5,249.85000610351562,102.25,174.3750457763672,1387.1500244140625,90.6500015258789,598.5
2018-01-22,1845.0,275.0,165.60000610351562,735.8499755859375,250.0,103.19999694824219,175.893798828125,1405.0,92.5,617.0
2018-01-23,1830.0,268.8500061035156,164.8000030517578,745.0,251.5500030517578,102.0,172.29379272460938,1418.0999755859375,92.0,624.9000244140625
2018-01-24,1784.050048828125,263.5,173.85000610351562,746.0,259.29998779296875,103.5,176.8125457763672,1402.5,92.5,627.0
2018-01-25,1752.0,260.75,179.0,746.5,258.5,102.69999694824219,182.1938018798828,1397.449951171875,91.0,612.4500122070312
2018-01-29,1728.0,260.54998779296875,170.5,729.9000244140625,253.5,101.55000305175781,184.8750457763672,1391.5,90.30000305175781,619.0499877929688
2018-01-30,1732.699951171875,261.1499938964844,162.0,715.0,253.5,99.8499984741211,179.268798828125,1385.199951171875,89.94999694824219,614.5499877929688
2018-01-31,1731.5,261.70001220703125,159.9499969482422,722.7000122070312,251.25,100.69999694824219,178.8750457763672,1362.0,90.5,608.0
2018-02-01,1710.0,263.1000061035156,159.0,715.0,251.0,101.0,180.73129272460938,1346.050048828125,89.19999694824219,606.0
2018-02-02,1733.0,263.04998779296875,151.25,715.0,240.6999969482422,96.94999694824219,181.83753967285156,1351.0999755859375,88.5999984741211,601.2000122070312
2018-02-05,1688.0,256.0,150.0,679.9500122070312,219.0,92.0,173.8125457763672,1339.0,83.9000015258789,570.0
2018-02-06,1600.0,256.0,151.5,685.0,216.0,90.0,168.7500457763672,1295.0,83.0,589.0
2018-02-07,1619.0,255.0,155.0,706.5,228.8000030517578,95.25,172.5000457763672,1209.0,82.9000015258789,588.0999755859375
2018-02-08,1595.0,247.0,154.0,701.0,225.5,94.0,174.3750457763672,1183.0,84.0,614.9000244140625
2018-02-09,1667.0,256.79998779296875,153.89999389648438,755.0,225.10000610351562,93.80000305175781,170.6250457763672,1220.0,83.5,600.0
2018-02-12,1687.0,256.54998779296875,158.0500030517578,767.5,229.1999969482422,95.5,174.675048828125,1288.0999755859375,85.75,596.0999755859375
2018-02-14,1657.449951171875,257.1000061035156,167.0,780.0,239.0,95.0999984741211,176.30628967285156,1242.5,87.0999984741211,592.9000244140625
2018-02-15,1632.949951171875,254.60000610351562,164.0,765.0999755859375,233.10000610351562,95.0,175.55628967285156,1250.800048828125,88.0,600.0
2018-02-16,1630.0,253.5,159.0,755.0,232.89999389648438,94.05000305175781,179.8125457763672,1240.6500244140625,86.30000305175781,585.5999755859375
2018-02-19,1650.0,259.8999938964844,150.9499969482422,742.9000244140625,223.0500030517578,96.0,175.81878662109375,1218.0,86.55000305175781,597.5
2018-02-20,1635.050048828125,258.79998779296875,141.10000610351562,736.2000122070312,222.0,93.5999984741211,173.737548828125,1208.5999755859375,86.0,575.0
2018-02-21,1653.0,268.79998779296875,146.1999969482422,744.5,226.89999389648438,92.69999694824219,175.48129272460938,1210.449951171875,85.55000305175781,556.0999755859375
2018-02-22,1640.0,257.8999938964844,145.5,758.0999755859375,218.3000030517578,91.9000015258789,174.1875457763672,1174.0,86.25,581.7000122070312
2018-02-23,1645.0,257.20001220703125,144.89999389648438,760.0,220.0,93.5,172.8750457763672,1157.449951171875,84.5,580.9000244140625
2018-02-26,1658.25,261.1499938964844,147.5,755.0,226.5500030517578,95.44999694824219,172.53753662109375,1212.449951171875,85.75,592.0
2018-02-27,1651.0999755859375,258.0,143.5,772.0,228.0500030517578,97.25,173.49378967285156,1239.25,85.30000305175781,617.8499755859375
